Country,2000,2005,2010,2015,2016,2017,2018
Afghanistan,,1.2241,4,8.26,11.2,13.5,
Bangladesh,0.071,0.2416,3.7,14.4,18.02,15,
Canada,51.3,71.66,80.3,90,91.16,91,
China,1.7759,8.5233,34.3,50.3,53.2,54.3,
Finland,37.2485,74.48,86.89,86.4221,87.7036,87.4689,88.89
India,0.5275,2.3881,7.5,17,22,34.45,
Iran (Islamic Republic of),0.9342,8.1,15.9,45.335,53.2268,64.044,70.0046
Pakistan,,6.3323,8,14,12.3854,15.51,
United Kingdom,26.8218,70,85,92.0003,94.7758,94.62,94.8967
United States of America,43.0792,67.9681,71.69,74.5542,85.5444,87.2661,