date,count
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,0
3/8/20,0
3/9/20,0
3/10/20,0
3/11/20,0
3/12/20,0
3/13/20,0
3/14/20,0
3/15/20,0
3/16/20,1
3/17/20,1
3/18/20,1
3/19/20,1
3/20/20,1
3/21/20,1
3/22/20,1
3/23/20,1
3/24/20,1
3/25/20,2
3/26/20,2
3/27/20,2
3/28/20,2
3/29/20,2
3/30/20,2
3/31/20,5
4/1/20,5
4/2/20,10
4/3/20,10
4/4/20,10
4/5/20,15
4/6/20,18
4/7/20,18
4/8/20,29
4/9/20,32
4/10/20,32
4/11/20,32
4/12/20,32
4/13/20,32
4/14/20,40
4/15/20,43
4/16/20,54
4/17/20,99
4/18/20,112
4/19/20,131
4/20/20,135
4/21/20,150
4/22/20,166
4/23/20,179
4/24/20,188
4/25/20,188
4/26/20,207
4/27/20,220
4/28/20,228
4/29/20,252
4/30/20,260
5/1/20,310
5/2/20,331
5/3/20,345
5/4/20,397
5/5/20,421
5/6/20,458
5/7/20,468
5/8/20,472
5/9/20,502
5/10/20,558
5/11/20,558
5/12/20,610
5/13/20,648
5/14/20,691
5/15/20,745
5/16/20,745
5/17/20,778
5/18/20,801
5/19/20,850
5/20/20,930
5/21/20,938
5/22/20,996
5/23/20,1040
5/24/20,1075
5/25/20,1097
5/26/20,1128
5/27/20,1138
5/28/20,1209
5/29/20,1259
5/30/20,1303
5/31/20,1328
6/1/20,1428
6/2/20,1450
6/3/20,1522
6/4/20,1585
6/5/20,1762
6/6/20,1830
6/7/20,1875
6/8/20,2171
6/9/20,2651
6/10/20,3013
6/11/20,3326
6/12/20,3928
6/13/20,4201
6/14/20,4725
6/15/20,5164
6/16/20,5508
6/17/20,6158
6/18/20,7660
6/19/20,7962
6/20/20,8292
6/21/20,8764
6/22/20,8841
6/23/20,9260
6/24/20,9869
6/25/20,10174
6/26/20,10306
6/27/20,10674
6/28/20,12604
6/29/20,13934
6/30/20,14131
7/1/20,15651
7/2/20,16041
7/3/20,17331
7/4/20,19164
7/5/20,19366
7/6/20,20103
7/7/20,20179
7/8/20,20700
7/9/20,20847
7/10/20,20882
7/11/20,21135
7/12/20,21216
7/13/20,21254
7/14/20,21454
7/15/20,22456
7/16/20,22824
7/17/20,23151
7/18/20,23273
7/19/20,23634
7/20/20,23741
7/21/20,23741
7/22/20,23924
7/23/20,24550
7/24/20,24602
7/25/20,24793
7/26/20,25180
7/27/20,25198
7/28/20,25358
7/29/20,25389
7/30/20,25471
7/31/20,25509
8/1/20,25509
8/2/20,25510
8/3/20,25669
8/4/20,25669
8/5/20,25742
8/6/20,25840
8/7/20,25903
8/8/20,25960
8/9/20,25960
8/10/20,26228
8/11/20,26415
8/12/20,26694
8/13/20,26714
8/14/20,26714
8/15/20,27166
8/16/20,27166
8/17/20,27166
8/18/20,27166
8/19/20,27166
8/20/20,27681
8/21/20,28016
8/22/20,28016
8/23/20,28180
8/24/20,28360
8/25/20,28440
8/26/20,29042
8/27/20,29046
8/28/20,29059
8/29/20,29063
8/30/20,29089
8/31/20,29089