"state","asciiname","pop2010","pop2019"
"Alabama","Montgomery",205764,197337
"Alaska","Juneau",31275,32063
"Arizona","Phoenix",1445632,1711356
"Arkansas","Little Rock",193524,199579
"California","Sacramento",466488,513330
"Colorado","Denver",600158,732144
"Connecticut","Hartford",124775,121365
"Delaware","Dover",36047,38728
"Florida","Tallahassee",181376,194170
"Georgia","Atlanta",420003,501178
"Hawaii","Honolulu",337256,351024
"Idaho","Boise City",205671,231773
"Illinois","Springfield",116250,113471
"Indiana","Indianapolis",820445,863771
"Iowa","Des Moines",203433,217446
"Kansas","Topeka",127473,125353
"Kentucky","Frankfort",25527,28215
"Louisiana","Baton Rouge",229493,225900
"Maine","Augusta",19136,18554
"Maryland","Annapolis",38394,39304
"Massachusetts","Boston",617594,694784
"Michigan","Lansing",114297,119353
"Minnesota","St. Paul",285068,311008
"Mississippi","Jackson",173514,163838
"Missouri","Jefferson City",43079,42428
"Montana","Helena",28190,32843
"Nebraska","Lincoln",258379,291623
"Nevada","Carson City",55274,55753
"New Hampshire","Concord",42695,43690
"New Jersey","Trenton",84913,83669
"New Mexico","Santa Fe",67947,85642
"New York","Albany",97856,97640
"North Carolina","Raleigh",403892,485679
"North Dakota","Bismarck",61272,75858
"Ohio","Columbus",787033,890228
"Oklahoma","Oklahoma City",579999,661614
"Oregon","Salem",154637,177019
"Pennsylvania","Harrisburg",49528,48406
"Rhode Island","Providence",178042,179870
"South Carolina","Columbia",129272,135299
"South Dakota","Pierre",13646,14101
"Tennessee","Nashville-Davidson",601222,679318
"Texas","Austin",790390,1001104
"Utah","Salt Lake City",186440,200662
"Vermont","Montpelier",7855,7352
"Virginia","Richmond",204214,233796
"Washington","Olympia",46478,54115
"West Virginia","Charleston",51400,47293
"Wisconsin","Madison",233209,264365
"Wyoming","Cheyenne",59466,65864